|Plat|Type de vin|Appelation
0|Pizza aux fruits de mer|Rosés épicés|Tavel, costières-de-nimes, languedoc
1|Pizza aux fruits de mer|Blancs expressifs|Côtes-du-rhône, costières-de-nimes
2|Pizza aux trois fromages|Blancs frais et fruités|IGP Coteaux du Libron, côtes-du-rhône, vin-de-corse, côtes-de-provence
3|Pizza margherita|Rosés épicés|Tavel, costières-de-nimes, languedoc
4|Pizza margherita|Blancs expressifs|Côtes-du-rhône, costières-de-nimes
5|Quiche lorraine|Blancs frais et aromatiques|Alsace riesling, côtes-de-toul
6|Quiche au saumon|Blancs expressifs et minéraux|Menetou-salon, quincy, pouilly-fumé
7|Quiche aux poireaux ou aux oignons|Blancs vifs et aromatiques|IGP Ardèche, alsace pinot blanc, alsace pinot gris, mâcon
8|Salade aux pommes et bleu|Blancs frais et fruités|Minervois, côtes-du-rhône
9|Salade de chèvre chaud|Blancs vifs et minéraux|Menetou-salon, sancerre
10|Salade de gésiers confits|Rouges fruités et épices|Fronton, IGP Côtes de Gascogne
11|Salade niçoise|Roses méridionaux|Tous les rosés de Provence
12|Tarte aux légumes|Blancs fruités et séveux|Saumur, crozes-hermitage
13|Terrine de poisson|Blancs frais et fruités|Entre-deux-mers, muscadet
14|Vol-au-vent|Blancs gras et délicats|Meursault, limoux
