Avocats aux crevettes|Blancs fins et savoureux|Mâcon, beaujolais
Beignets de crevettes|+ Blancs vifs + Blancs effervescents|- Alsace riesling + Champagne, crémants
Beignets de légumes|Blancs frais et fruités|Côtes-de-provence, vin-de-corse
Bricks au thon|Rosés épicés et charnus|Languedoc, cotes-de- provence
Carpaccio de bœuf|Rouges tendres et fringants|Beaujolais, anjou-gamay
Carpaccio et tartare de saumon|Blancs séveux au fruité frais|Entre-deux-mers, picpoul-de-pinet (languedoc)
Cassolette de fruits de mer|Blancs vifs et minéraux|Pouilly-fumé, alsace riesling
Cassolette de poisson|Blancs fruités et onctueux|Saint-véran, minervois
Escargots au beurre d’ail|+ Blancs bien secs . Rosés épices|+ Chablis bien minéral, quincy, reuilly, pouilly-Fumé + Languedoc, costières-de-nîmes (tavel, lirac, côtes-de- provence, bandol, côtes-du-roussillon...)
Flammekueche|Blancs vifs et fruités|Alsace sylvaner, alsace pinot blanc
Melon au jambon|+ Rosés généreux + Blancs moelleux|* Tavel, lirac, bandol, bellet + Muscat-de-mireval
Pissaladière|Blancs tendres et aromatiques|Côtes-de-provence, patrimonio
Pizza aux anchois|+ Blancs secs + Rosés épicés|+ Lirac + Lirac, tavel, côtes-de-provence, cassis, coteaux-varois-en-provencé
