Olives et tapenades|. Rosés épicés . Rouges frais|+ Rosés de Provence (tavel, côtes-de-provence) . Costières-de-nîmes sur le fruit
Petits farcis à la niçoise|. Rosés souples + Rosés épicés|Re a A me cassis
Poivrons marinés à l’huile d'olive|sn épicés|Côtes-du-roussillon, IGP Duché d'Uzès
Rillettes de saumon|Blancs vifs et savoureux|Re
Samoussas au bœuf|Rouges charnus et épicés|Corbières, vin-de-corse, vacqueyras
Taboulé|Roses frais et sävoureux|Lirac, côtes-du-rhône
Tapas au jambon sec|. Effervescents + Rouges tendres|de et tous les vins du Beaujolais
Tapas aux anchois|Blancs méridionaux|Ajaccio, collioure, corbières, rancio sec du Roussillon et de type rancio (IGP)
Tarama|Blancs fruités|Alsace riesling, côtes-de-provence, vin-de-corse
Tartare de légumes|Rosés chaleureux et aromatiques|Tavel, lirac, costières-de-nîmes
Tortilla aux pommes de terre|Blancs secs et fruites|Languedoc, côtes-du-roussillon
